Date,T_degC,PO4uM,SiO3uM,NO2uM,NO3uM,Salnty,O2ml_L
01/23/2013,9.30,1.47,32.90,0.03,20.80,33.97,2.60
10/31/2015,9.30,1.87,31.10,0.03,19.90,33.56,3.27
10/15/2008,9.31,1.90,32.00,0.00,26.90,34.02,2.84
07/23/2001,9.33,2.68,35.00,0.13,28.20,34.09,2.36
01/16/2007,9.33,1.57,26.00,0.00,22.50,33.74,3.72
01/18/2010,9.33,1.73,33.00,0.75,24.60,33.89,2.90
04/14/2003,9.34,2.10,29.00,0.00,24.60,33.97,3.00
06/30/2000,9.35,2.35,74.00,0.00,27.50,34.20,2.01
04/12/2002,9.35,2.18,30.50,0.02,23.40,33.93,2.89
01/19/2010,9.35,1.72,33.00,0.72,24.50,33.89,2.91
01/15/2011,9.35,1.78,31.00,0.01,28.70,33.99,2.58
01/22/2011,9.35,2.06,35.40,0.01,27.50,33.98,2.25
10/21/2011,9.35,2.00,34.00,0.00,27.70,33.95,2.25
04/08/2006,9.36,1.99,30.60,0.14,24.00,33.68,3.39
10/26/2008,9.37,1.99,33.00,0.00,26.70,34.01,2.69
10/25/2012,9.37,1.87,31.70,0.03,25.40,33.52,2.85
11/11/2019,9.37,2.39,40.20,0.06,25.80,33.92,2.06
07/11/2000,9.38,1.87,64.00,0.00,23.50,34.13,2.44
04/02/2002,9.38,2.77,40.30,0.00,28.90,33.77,1.50
01/22/2013,9.38,1.41,32.00,0.03,19.80,33.97,2.67
04/21/2001,9.39,2.14,56.00,0.00,22.80,33.94,3.18
07/22/2001,9.39,2.65,34.60,0.13,28.10,34.12,2.37
03/13/2009,9.39,1.10,16.00,0.01,14.50,33.55,4.68
07/25/2004,9.40,2.46,37.30,0.01,27.50,33.75,2.09
07/29/2011,9.40,1.91,36.30,0.02,26.50,34.05,2.33
10/20/2000,9.41,2.16,64.00,0.00,28.00,34.15,2.42
04/13/2003,9.41,2.07,28.30,0.00,24.20,33.95,3.04
07/21/2006,9.41,1.78,29.90,0.14,24.40,33.56,4.24
01/21/2011,9.42,2.01,34.30,0.01,27.20,33.91,2.31
03/29/2012,9.42,2.14,38.80,0.00,32.50,34.03,1.87
04/07/2001,9.43,1.71,45.00,0.00,27.10,33.83,3.56
11/13/2009,9.43,1.93,29.00,0.00,24.20,34.03,2.80
07/28/2011,9.44,1.87,36.00,0.02,26.30,34.05,2.36
07/11/2014,9.44,1.88,36.00,0.00,28.10,34.10,2.39
10/30/2006,9.45,1.84,30.70,0.00,25.70,33.62,3.01
01/20/2009,9.45,1.96,31.00,0.00,26.60,34.03,2.71
04/14/2013,9.45,1.23,21.00,0.06,17.00,33.62,4.15
01/20/2011,9.46,1.92,32.90,0.03,26.20,33.84,2.40
07/12/2014,9.46,1.87,36.00,0.00,28.10,34.10,2.40
10/30/2001,9.47,2.64,30.80,0.04,25.70,33.81,2.86
07/09/2002,9.47,1.92,24.10,0.03,21.60,33.53,3.56
04/14/2006,9.47,1.76,27.50,0.23,21.20,33.39,4.12
11/20/2009,9.48,2.15,33.00,0.00,26.90,34.02,2.70
04/22/2013,9.48,1.71,33.00,0.00,20.30,34.01,2.44
01/07/2017,9.48,1.55,27.30,0.02,21.80,33.67,3.21
05/03/2010,9.49,1.67,22.30,0.32,20.20,33.58,4.52
01/14/2011,9.49,1.73,28.70,0.02,27.70,33.91,2.75
04/11/2013,9.49,1.21,19.60,0.06,16.60,33.58,4.25
01/27/2002,9.50,2.55,31.40,0.01,25.60,33.66,2.82
01/08/2008,9.50,1.75,27.70,0.00,24.10,33.65,3.11
08/06/2011,9.51,1.15,14.60,0.07,16.30,33.61,4.50
03/30/2012,9.51,1.98,35.70,0.00,31.30,33.97,2.21
05/06/2010,9.52,1.77,31.00,0.31,22.30,33.84,3.66
01/15/2001,9.53,1.84,48.00,0.00,24.00,33.92,2.28
10/22/2006,9.54,0.95,13.60,0.03,12.20,33.15,5.08
04/04/2007,9.54,1.09,15.90,0.07,14.30,33.37,4.84
01/25/2008,9.54,1.01,15.10,0.00,13.50,33.32,4.49
04/11/2015,9.54,1.66,28.90,0.02,20.80,33.69,3.00
07/14/2014,9.55,1.84,36.00,0.00,28.00,34.07,2.46
07/15/2019,9.55,2.31,34.50,0.01,23.90,33.91,2.38
01/20/2008,9.56,1.95,29.40,0.08,26.50,33.65,2.77
07/19/2012,9.56,2.01,33.70,0.00,29.20,33.94,2.40
04/23/2013,9.56,1.66,32.00,0.00,19.90,34.01,2.52
01/29/2007,9.57,1.62,25.70,0.02,22.60,33.54,3.77
07/10/2013,9.59,1.31,18.30,0.00,16.60,33.46,4.59
07/11/2016,9.59,1.36,22.00,0.02,17.20,33.60,3.87
10/25/2003,9.60,2.65,38.70,0.00,29.20,33.88,1.68
01/29/2011,9.60,1.87,31.00,0.02,24.20,33.97,2.51
01/30/2011,9.61,1.87,30.80,0.02,24.00,33.96,2.53
11/01/2012,9.61,1.95,34.60,0.08,27.90,34.04,2.27
07/11/2013,9.62,1.30,18.00,0.00,16.40,33.30,4.61
11/09/2015,9.62,1.58,23.50,0.00,14.80,33.58,3.53
01/23/2011,9.63,1.88,30.10,0.02,24.70,33.77,2.73
04/19/2011,9.63,1.23,16.20,0.06,16.50,33.63,4.48
07/13/2001,9.64,1.74,43.00,0.00,19.80,33.93,3.72
11/17/2013,9.64,1.41,19.20,0.01,16.90,33.41,4.14
07/13/2014,9.64,1.84,35.00,0.00,27.30,33.96,2.51
11/19/2002,9.65,1.80,21.60,0.02,20.40,33.41,3.86
07/02/2007,9.65,1.02,13.30,0.00,11.50,33.08,5.18
07/29/2009,9.65,1.16,16.00,0.01,15.40,33.50,4.48
01/18/2005,9.68,2.35,34.00,0.03,27.10,34.16,2.20
04/13/2015,9.68,1.41,23.20,0.02,18.00,33.63,3.68
01/31/2010,9.69,1.55,24.00,0.09,20.00,33.79,3.60
07/06/2000,9.70,1.92,62.00,0.00,23.80,34.09,2.41
01/19/2005,9.70,2.32,33.40,0.03,26.80,34.14,2.24
10/22/2011,9.70,1.89,30.50,0.00,25.10,33.86,2.57
03/31/2012,9.70,1.90,32.80,0.00,30.00,33.95,2.42
